loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
3529,Kepler-853 b,1,7.16892463,610.00,6350.00,,1.690,
3530,Kepler-854 b,1,2.14463285,741.00,6179.00,,16.720,
3531,Kepler-855 b,1,7.88663110,1043.00,5835.00,,8.350,
3532,Kepler-856 b,1,8.02768059,1175.00,5535.00,,9.300,
3533,Kepler-857 b,1,85.35129427,1039.00,5773.00,,6.800,
3534,Kepler-858 b,1,76.13602028,296.00,5653.00,,4.870,
3535,Kepler-859 b,1,20.38177573,915.00,5020.00,,3.090,
3536,Kepler-860 b,1,5.10137945,1295.00,5836.00,,3.240,
3537,Kepler-861 b,1,3.94963138,806.00,5047.00,,2.280,
3538,Kepler-862 b,1,3.14866453,806.00,5333.00,,2.210,
3539,Kepler-863 b,1,15.59461874,1145.00,5678.00,,2.900,
3540,Kepler-864 b,1,5.83376092,1573.00,5754.00,,2.400,
3541,Kepler-865 b,1,14.16399294,664.00,5570.00,,2.490,
3542,Kepler-866 b,1,2.61703254,690.00,4751.00,,1.630,
3543,Kepler-867 b,1,150.24212700,824.00,5541.00,,4.640,
3544,Kepler-868 b,1,5.03251791,1269.00,5614.00,,2.050,
3545,Kepler-869 b,1,40.42877550,957.00,5664.00,,3.610,
3546,Kepler-87 b,2,114.73635000,1277.88,5600.00,324.20000,13.490,2014-01
3547,Kepler-87 c,2,191.23180000,1277.88,5600.00,6.40000,6.140,2014-01
3548,Kepler-870 b,1,21.35876210,1231.00,5857.00,,2.780,
3549,Kepler-871 b,1,22.04590180,1695.00,5993.00,,3.740,
3550,Kepler-872 b,1,2.57885507,1114.00,5902.00,,1.990,
3551,Kepler-873 b,1,20.55338440,1397.00,6163.00,,3.750,
3552,Kepler-874 b,1,40.06867270,1072.00,6020.00,,3.940,
3553,Kepler-875 b,1,27.50737990,1244.00,5958.00,,2.900,
3554,Kepler-876 b,1,5.14438011,735.00,5060.00,,1.430,
3555,Kepler-877 b,1,18.45847097,572.00,5261.00,,2.120,
3556,Kepler-878 b,1,25.94220330,567.00,5044.00,,1.930,
3557,Kepler-879 b,1,33.38559380,772.00,5792.00,,2.570,
3558,Kepler-880 b,1,7.71468975,673.00,6761.00,,2.660,
3559,Kepler-881 b,1,4.44448017,1364.00,5961.00,,1.780,
3560,Kepler-882 b,1,3.98953967,525.00,5476.00,,1.230,
3561,Kepler-883 b,1,12.98495573,549.00,6116.00,,1.780,
3562,Kepler-884 b,1,5.69919514,420.00,5715.00,,1.230,
3563,Kepler-885 b,1,18.11472949,632.00,6187.00,,2.500,
3564,Kepler-886 b,1,6.24146367,857.00,6098.00,,1.520,
3565,Kepler-887 b,2,20.42228798,831.00,6194.00,,1.840,
3566,Kepler-887 c,2,7.63846023,831.00,6194.00,,1.130,
3567,Kepler-888 b,1,70.69790610,413.00,5875.00,,1.760,
3568,Kepler-889 b,1,3.74443900,513.00,5961.00,,1.090,
3569,Kepler-890 b,1,52.75875577,1387.00,5954.00,,8.890,
3570,Kepler-891 b,1,53.44945593,1372.00,5887.00,,6.410,
3571,Kepler-892 b,1,13.75210720,640.00,4747.00,,2.810,
3572,Kepler-893 b,1,6.33855761,1216.00,5820.00,,3.030,
3573,Kepler-894 b,1,9.80322400,1090.00,5603.00,,2.780,
3574,Kepler-895 b,1,2.80624233,516.00,4315.00,,1.540,
